# ACTS Test Suite Generation: Sat Sep 26 20:39:43 EEST 2020
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 4
# Maximum number of values per parameter: 173
# Number of configurations: 21815
mbap_transaction,mbap_protocol,mbap_len,mbap_slave
6,16382,1459,124
6,16383,1460,125
6,16384,1461,126
6,16385,1462,127
6,16386,2045,128
6,16387,2046,129
6,16388,2047,130
6,16389,2048,131
6,32763,2049,132
6,32764,2050,133
6,32765,2051,251
6,32766,2052,252
6,32767,4092,253
6,32768,4093,254
6,32769,4094,255
6,32770,4095,0
6,32771,4096,1
6,32772,4097,2
6,32773,4098,3
6,65280,4099,4
6,65530,8190,5
6,65531,8191,6
6,65532,8192,7
6,65533,8193,8
6,65534,8194,9
6,65535,8195,10
7,0,32764,11
7,1,32765,12
7,2,32766,13
7,3,32767,14
7,4,32768,15
7,5,32769,16
7,6,32770,17
7,7,32771,18
7,8,32772,19
7,9,32773,20
7,10,65530,21
7,31,65531,27
7,32,65532,28
7,33,65533,29
7,34,65534,30
7,61,65535,31
7,62,0,34
7,63,1,35
7,64,2,36
7,65,3,37
7,66,4,59
7,67,5,60
7,68,6,61
7,69,7,62
7,125,8,63
7,126,9,64
7,127,10,65
7,128,11,66
7,129,12,67
7,130,13,68
7,131,14,69
7,251,15,123
7,252,16,124
7,253,32,125
7,254,64,126
7,255,124,127
7,256,125,128
7,257,126,129
7,258,127,130
7,259,128,131
7,260,129,132
7,261,251,133
7,507,252,251
7,508,253,252
7,509,254,253
7,510,255,254
7,511,256,255
7,512,257,0
7,513,258,1
7,514,259,2
7,515,260,3
7,516,261,4
7,517,262,5
7,1019,263,6
7,1021,264,7
7,1022,265,8
7,1023,1021,9
7,1024,1022,10
7,1025,1023,32
7,1026,1024,33
7,1027,1025,34
7,1028,1026,35
7,1029,1027,13
7,2041,1458,14
7,2042,1459,15
7,2043,1460,16
7,2044,1461,17
7,2045,1462,18
7,2046,2045,19
7,2047,2046,20
7,2048,2047,21
