# ACTS Test Suite Generation: Wed Mar 18 20:43:59 EET 2020
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 5
# Maximum number of values per parameter: 75
# Number of configurations: 5667
Byte_count,Reference_Type,File_number,Record_number,Record_length
7,132,9,65520,65535
8,133,9,65521,0
9,254,9,65527,1
10,255,9,65528,2
11,6,9,65529,3
12,7,9,65530,4
13,8,9,65531,5
14,9,9,65532,7
15,10,9,65533,8
16,11,9,65534,9
17,12,9,65535,15
18,13,15,0,16
19,14,15,1,17
20,15,15,2,31
21,16,15,3,32
27,17,15,4,33
28,18,15,5,63
29,19,15,7,64
30,20,15,8,65
31,21,15,9,116
32,27,15,15,117
33,28,15,16,118
34,29,15,17,119
35,30,15,31,120
36,31,15,32,121
37,32,15,33,122
59,33,15,63,123
60,34,15,64,124
61,35,15,65,125
62,36,15,127,126
63,37,15,128,127
64,59,15,129,128
65,60,15,255,129
66,61,15,256,255
67,62,15,257,256
68,63,15,511,257
69,65,15,512,511
123,66,15,513,512
124,67,15,1023,513
125,68,15,1024,1023
126,69,15,1025,1024
127,123,15,2047,1025
128,124,15,2048,2047
129,125,15,2049,2048
130,126,15,4095,2049
131,127,15,4096,4095
132,128,15,4097,4096
133,129,15,8191,4097
251,130,15,8192,8191
252,131,15,8193,8192
253,132,15,9993,8193
254,64,15,9994,16383
255,252,15,9995,16384
0,253,15,9996,16385
1,4,15,9997,32767
2,5,15,9998,32768
3,8,15,9999,32769
4,9,15,10000,65471
5,11,15,10001,65472
6,12,15,10002,65473
7,254,15,10003,65503
8,255,15,10004,65504
9,0,15,16383,65505
10,1,15,16384,65519
11,7,15,16385,65520
12,2,15,32767,65521
13,3,15,32768,65527
14,10,15,32769,65528
15,251,15,65471,65529
16,6,15,65472,65530
17,13,15,65473,65531
18,133,15,65503,65532
19,252,15,65504,65533
20,253,15,65505,65534
21,4,15,65519,65535
27,5,15,65520,0
28,17,15,65521,1
29,18,15,65527,2
30,19,15,65528,3
31,20,15,65529,4
32,21,15,65530,5
33,27,15,65531,7
34,28,15,65532,8
35,29,15,65533,9
36,30,15,65534,15
37,31,15,65535,16
59,32,16,0,17
60,33,16,1,31
61,34,16,2,32
62,35,16,3,33
63,36,16,4,63
64,37,16,5,64
65,61,16,7,65
66,62,16,8,116
67,64,16,9,117
68,65,16,15,118
69,66,16,16,119
123,67,16,17,120
124,68,16,31,121
125,69,16,32,122
126,123,16,33,123
127,124,16,63,124
128,125,16,64,125
129,126,16,65,126
130,127,16,127,127
131,128,16,128,128
132,129,16,129,129
133,130,16,255,255
251,131,16,256,256
252,132,16,257,257
253,14,16,511,511
254,15,16,512,512
255,16,16,513,513
0,63,16,1023,1023
1,251,16,1024,1024
2,59,16,1025,1025
3,60,16,2047,2047
4,133,16,2048,2048
5,253,16,2049,2049
