# ACTS Test Suite Generation: Wed Mar 18 21:01:10 EET 2020
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 3
# Maximum number of values per parameter: 183
# Number of configurations: 15752
quan,byte_count,num_value
259,131,19
260,132,19
261,133,19
507,251,19
508,252,19
509,253,19
510,254,19
511,255,19
512,0,19
513,1,19
514,2,19
515,3,19
516,4,19
517,5,19
1019,6,19
1020,7,19
1021,8,19
1022,9,19
1023,10,19
1024,11,19
1025,12,19
1026,13,19
1027,14,19
1028,15,19
1029,16,19
2043,17,19
2044,18,19
2045,19,19
2046,20,19
2047,21,19
2048,27,19
2049,28,19
2050,29,19
2051,30,19
2052,31,19
2053,32,19
4091,33,19
4092,34,19
4093,35,19
4094,36,19
4095,37,19
4096,59,19
4097,60,19
4098,61,19
4099,62,19
4100,63,19
4101,64,19
5000,65,19
8187,66,19
8188,67,19
8189,68,19
8190,69,19
8191,123,19
8192,124,19
8193,125,19
8194,126,19
8195,127,19
8196,128,19
8197,129,19
10000,130,19
16379,131,19
16380,132,19
16381,133,19
16382,251,19
16383,252,19
16384,253,19
16385,254,19
16386,255,19
16387,0,19
16388,1,19
16389,2,19
20000,3,19
32763,4,19
32764,5,19
32765,6,19
32766,7,19
32767,8,19
32768,9,19
32769,10,19
32770,11,19
32771,12,19
32772,13,19
32773,14,19
65530,15,19
65531,16,19
65532,17,19
65533,18,19
65534,19,19
65535,20,19
1,21,21
2,27,21
3,28,21
4,29,21
5,30,21
6,31,21
7,32,21
8,33,21
9,34,21
10,35,21
11,36,21
12,37,21
13,59,21
14,60,21
15,61,21
16,62,21
17,63,21
18,64,21
19,65,21
20,66,21
21,67,21
27,68,21
28,69,21
29,123,21
30,124,21
31,125,21
32,126,21
33,127,21
34,128,21
35,129,21
36,130,21
37,131,21
59,132,21
60,133,21
61,251,21
62,252,21
63,253,21
64,254,21
65,255,21
66,0,21
67,1,21
68,2,21
69,3,21
111,4,21
112,5,21
113,6,21
114,7,21
115,8,21
116,9,21
117,10,21
118,11,21
119,12,21
120,13,21
121,14,21
122,15,21
123,16,21
124,17,21
125,18,21
126,19,21
127,20,21
128,21,21
129,27,21
130,28,21
131,29,21
132,30,21
133,31,21
134,32,21
251,33,21
252,34,21
253,35,21
254,36,21
255,37,21
256,59,21
257,60,21
258,61,21
259,62,21
260,63,21
261,64,21
507,65,21
508,66,21
509,67,21
510,68,21
511,69,21
512,123,21
513,124,21
514,125,21
515,126,21
516,127,21
517,128,21
1019,129,21
1020,130,21
1021,131,21
1022,132,21
1023,133,21
1024,251,21
1025,252,21
1026,253,21
1027,254,21
1028,255,21
1029,0,21
2043,1,21
2044,2,21
2045,3,21
2046,4,21
2047,5,21
2048,6,21
2049,7,21
2050,8,21
2051,9,21
2052,10,21
2053,11,21
4091,12,21
4092,13,21
4093,14,21
4094,15,21
4095,16,21
4096,17,21
4097,18,21
4098,19,21
4099,20,21
4100,21,21
4101,27,21
5000,28,21
8187,29,21
8188,30,21
8189,31,21
8190,32,21
8191,33,21
8192,34,21
8193,35,21
8194,36,21
8195,37,21
8196,59,21
8197,60,21
10000,61,21
16379,62,21
16380,63,21
16381,64,21
16382,65,21
16383,66,21
16384,67,21
16385,68,21
16386,69,21
16387,123,21
16388,124,21
16389,125,21
20000,126,21
32763,127,21
32764,128,21
32765,129,21
32766,130,21
32767,131,21
32768,132,21
32769,133,21
32770,251,21
32771,252,21
32772,253,21
32773,254,21
65530,255,21
65531,0,21
65532,1,21
65533,2,21
65534,3,21
65535,4,21
1,5,27
2,6,27
3,7,27
4,9,27
5,11,27
6,13,27
7,16,27
8,18,27
9,20,27
10,28,27
11,29,27
12,30,27
13,31,27
14,32,27
15,33,27
16,35,27
17,37,27
18,60,27
19,61,27
20,62,27
21,63,27
27,64,27
28,65,27
29,66,27
30,67,27
31,68,27
32,69,27
33,123,27
34,124,27
35,125,27
36,126,27
37,127,27
59,128,27
60,129,27
61,130,27
62,131,27
63,132,27
64,133,27
65,251,27
66,252,27
67,253,27
68,254,27
69,255,27
111,0,27
112,8,27
113,12,27
114,14,27
115,15,27
116,19,27
117,21,27
118,27,27
119,34,27
120,36,27
121,59,27
122,10,27
123,17,27
124,1,27
125,2,27
126,3,27
127,4,27
128,5,27
129,6,27
130,7,27
131,8,27
132,9,27
133,10,27
134,11,27
251,12,27
252,13,27
253,14,27
254,15,27
255,16,27
256,17,27
257,18,27
258,19,27
259,20,27
260,21,27
261,27,27
507,28,27
508,29,27
509,30,27
510,31,27
511,32,27
512,33,27
513,34,27
514,35,27
515,36,27
516,37,27
517,59,27
1019,60,27
1020,61,27
1021,62,27
1022,63,27
1023,64,27
1024,65,27
1025,66,27
1026,67,27
1027,68,27
1028,69,27
1029,123,27
2043,124,27
2044,125,27
2045,126,27
2046,127,27
2047,128,27
2048,129,27
2049,130,27
2050,131,27
2051,132,27
2052,133,27
2053,251,27
4091,252,27
4092,253,27
4093,254,27
4094,255,27
4095,0,27
4096,1,27
4097,2,27
4098,3,27
4099,4,27
4100,5,27
4101,6,27
5000,7,27
8187,8,27
8188,9,27
8189,10,27
8190,11,27
8191,12,27
8192,13,27
8193,14,27
8194,15,27
8195,16,27
8196,17,27
8197,18,27
10000,19,27
16379,20,27
16380,21,27
16381,27,27
16382,28,27
16383,29,27
16384,30,27
16385,31,27
16386,32,27
16387,33,27
16388,34,27
16389,35,27
20000,36,27
32763,37,27
32764,59,27
32765,60,27
32766,61,27
32767,62,27
32768,63,27
32769,64,27
32770,65,27
32771,66,27
32772,67,27
32773,68,27
65530,69,27
65531,123,27
65532,124,27
65533,125,27
65534,126,27
65535,127,27
1,128,29
2,129,29
3,130,29
4,131,29
5,132,29
6,133,29
7,251,29
8,252,29
9,253,29
10,254,29
11,255,29
12,0,29
13,1,29
14,2,29
15,3,29
16,4,29
17,5,29
18,6,29
19,7,29
20,8,29
21,9,29
