# ACTS Test Suite Generation: Thu Nov 04 11:35:24 EET 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 6
# Maximum number of values per parameter: 183
# Number of configurations: 7267
Data_length,Reference_Type,File_number,Record_number,Record_length,Record_data
20,17,65519,2,31,19
21,18,65520,3,32,19
27,19,65521,4,33,19
28,20,65527,5,63,19
29,21,65528,7,64,19
30,27,65529,8,65,19
31,28,65530,9,116,19
32,29,65531,15,117,19
33,30,65532,16,118,19
34,31,65533,17,119,19
35,32,65534,31,120,19
36,33,65535,32,121,19
37,34,0,33,122,19
59,35,1,63,123,19
60,36,2,64,124,19
61,37,3,65,125,19
62,59,4,127,126,19
63,60,5,128,127,19
64,61,7,129,128,19
65,62,8,255,129,19
66,129,9,256,255,19
67,130,10,257,256,19
68,131,11,511,257,19
69,133,12,512,511,19
123,251,13,513,512,19
124,252,14,1023,513,19
125,253,15,1024,1023,19
126,254,16,1025,1024,19
127,255,17,2047,1025,19
128,0,31,2048,2047,19
129,4,32,2049,2048,19
130,67,33,4095,2049,19
131,68,63,4096,4095,19
132,69,64,4097,4096,19
133,123,65,8191,4097,19
251,124,127,8192,8191,19
252,125,128,8193,8192,19
253,126,129,9993,8193,19
254,127,255,9994,16383,19
255,128,256,9995,16384,19
0,132,257,9996,16385,19
1,5,511,9997,32767,19
2,6,512,9998,32768,19
3,65,513,9999,32769,19
4,66,1023,10000,65471,19
5,2,1024,10001,65472,19
6,3,1025,10002,65473,19
7,12,2047,10003,65503,19
8,13,2048,10004,65504,19
9,1,2049,16383,65505,19
10,4,4095,16384,65519,19
11,7,4096,16385,65520,19
12,8,4097,32767,65521,19
13,63,8191,32768,65527,19
14,9,8192,32769,65528,19
15,11,8193,65471,65529,19
16,14,10000,65472,65530,19
17,16,16383,65473,65531,19
18,17,16384,65503,65532,19
19,10,16385,65504,65533,19
20,64,32767,65505,65534,19
21,65,32768,65519,65535,19
27,66,32769,65520,0,19
28,67,65471,65521,1,19
29,68,65472,65527,2,19
30,69,65473,65528,3,19
31,123,65503,65529,4,19
32,124,65504,65530,5,19
33,125,65505,65531,7,19
34,126,65519,65532,8,19
35,127,65520,65533,9,19
36,128,65521,65534,15,19
37,129,65527,65535,16,19
59,130,65528,0,17,21
60,131,65529,1,31,21
61,133,65530,2,32,21
62,251,65531,3,33,21
63,252,65532,4,63,21
64,253,65533,5,64,21
65,254,65534,7,65,21
66,255,65535,8,116,21
67,0,0,9,117,21
68,28,1,15,118,21
69,29,2,16,119,21
123,30,3,17,120,21
124,31,4,31,121,21
125,32,5,32,122,21
126,33,7,33,123,21
127,34,8,63,124,21
128,35,9,64,125,21
129,36,10,65,126,21
130,37,11,127,127,21
131,59,12,128,128,21
132,60,13,129,129,21
133,61,14,255,255,21
251,62,15,256,256,21
252,132,16,257,257,21
253,15,17,511,511,21
254,18,31,512,512,21
255,19,32,513,513,21
0,21,33,1023,1023,21
1,27,63,1024,1024,21
2,20,64,1025,1025,21
3,66,65,2047,2047,21
4,67,127,2048,2048,21
5,68,128,2049,2049,21
6,69,129,4095,4095,21
7,123,255,4096,4096,21
8,124,256,4097,4097,21
