# ACTS Test Suite Generation: Thu Jul 01 10:43:55 EEST 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 3
# Maximum number of values per parameter: 132
# Number of configurations: 13376
quan,byte_count,Out_value
32,131,32768
32,132,32769
32,251,32770
32,252,32771
32,253,32772
32,254,32773
33,255,1
33,6,2
33,8,3
33,10,5
33,15,10
33,16,16
33,4,32
33,32,64
33,33,125
33,63,126
33,1,127
33,2,128
33,3,129
33,7,130
33,9,131
33,0,250
33,17,251
33,31,252
33,64,253
33,65,254
33,127,255
33,128,256
33,129,257
33,130,258
33,131,259
33,132,507
33,251,508
33,252,509
33,253,510
33,254,511
33,255,512
33,15,513
33,16,514
33,4,515
33,7,1000
33,8,1021
33,9,1022
33,4,1023
33,6,1024
33,0,1025
33,4,1026
33,32,1027
33,33,1028
33,63,1436
33,1,1437
33,2,1438
33,3,1439
33,4,1440
33,7,1441
33,17,1442
33,31,1443
33,32,1444
33,33,2040
33,10,2041
33,15,2042
33,16,2043
33,127,2044
33,128,2045
33,129,2046
33,130,2047
33,131,2048
33,132,2049
33,251,2050
33,252,2051
33,253,4091
33,254,4092
33,255,4093
33,0,4094
33,1,4095
33,2,4096
33,3,4097
33,6,4098
33,10,4099
33,63,4100
33,64,5000
33,65,8190
33,127,8191
33,9,8192
33,10,8193
33,8,8194
33,9,10000
33,17,16381
33,31,16382
33,32,16383
33,33,16384
33,63,16385
33,64,16386
33,65,16387
33,129,16388
33,130,20000
33,131,32763
33,132,32764
33,251,32765
33,252,32766
33,253,32767
33,254,32768
33,255,32769
33,0,32770
33,1,32771
33,2,32772
33,3,32773
63,15,1
63,5,2
63,6,3
63,7,4
63,8,5
63,16,10
63,128,16
63,129,32
63,130,64
63,4,125
63,9,126
63,10,127
63,33,128
63,63,129
63,64,130
63,65,131
63,127,250
63,131,251
63,132,252
63,251,253
63,252,254
63,253,255
63,254,256
63,255,257
63,0,258
63,1,259
63,3,507
63,17,508
63,31,509
63,2,510
63,32,511
63,33,512
63,128,513
63,6,514
63,16,515
63,8,1000
63,15,1021
63,5,1022
63,7,1023
63,8,1024
63,5,1025
63,5,1026
63,5,1027
63,6,1028
63,7,1436
63,9,1437
63,10,1438
63,16,1439
63,31,1440
63,32,1441
63,4,1442
63,5,1443
63,63,1444
63,64,2040
63,65,2041
63,128,2042
63,129,2043
63,130,2044
63,131,2045
63,132,2046
63,251,2047
63,252,2048
63,253,2049
63,254,2050
63,255,2051
63,0,4091
63,1,4092
63,2,4093
63,3,4094
63,4,4095
63,17,4096
63,31,4097
63,32,4098
63,127,4099
63,128,4100
63,15,5000
63,16,8190
63,17,8191
63,129,8192
63,130,8193
63,131,8194
63,132,10000
63,251,16381
63,252,16382
63,253,16383
63,254,16384
63,255,16385
63,0,16386
63,1,16387
63,2,16388
63,3,20000
63,4,32763
63,5,32764
63,6,32765
63,7,32766
63,8,32767
63,9,32768
63,10,32769
63,15,32770
63,33,32771
63,63,32772
63,64,32773
64,65,1
64,127,2
64,128,3
64,129,4
64,130,5
64,131,10
64,132,16
64,251,32
64,252,64
64,253,125
64,254,126
64,255,127
64,0,128
64,1,129
64,4,130
64,5,131
64,6,250
64,7,251
64,15,252
64,16,253
64,31,254
64,32,255
64,33,256
64,63,257
64,64,258
64,9,259
64,10,507
64,17,508
64,2,509
64,3,510
64,127,511
64,65,512
64,127,513
64,128,514
64,129,515
64,130,1000
64,131,1021
64,132,1022
64,251,1023
64,252,1024
64,253,1025
64,254,1026
64,255,1027
64,2,1028
64,6,1436
64,10,1437
64,15,1438
64,17,1439
64,32,1440
64,33,1441
64,63,1442
64,64,1443
64,65,1444
64,4,2040
64,5,2041
64,7,2042
64,9,2043
64,0,2044
64,1,2045
64,3,2046
64,16,2047
64,31,2048
64,32,2049
64,33,2050
64,63,2051
64,64,4091
64,65,4092
64,127,4093
64,128,4094
64,129,4095
64,130,4096
64,131,4097
64,132,4098
64,251,4099
64,252,4100
64,253,5000
64,254,8190
64,255,8191
64,0,8192
64,1,8193
64,2,8194
64,3,10000
64,4,16381
64,5,16382
64,6,16383
64,7,16384
64,9,16385
64,10,16386
64,15,16387
64,16,16388
64,17,20000
64,31,32763
64,32,32764
64,33,32765
64,63,32766
64,64,32767
64,65,32768
64,127,32769
64,128,32770
64,129,32771
64,130,32772
64,131,32773
65,132,1
65,251,2
65,252,3
65,8,4
65,15,5
65,253,10
65,254,16
65,255,32
65,0,64
65,1,125
65,2,126
65,4,127
65,5,128
65,6,129
65,10,130
65,31,131
65,3,250
65,16,251
65,17,252
65,7,253
65,32,254
65,33,255
65,63,256
65,64,257
65,65,258
65,127,259
65,128,507
65,129,508
65,130,509
65,131,510
65,8,511
65,17,512
65,132,513
65,251,514
65,252,515
65,253,1000
65,254,1021
65,255,1022
65,0,1023
65,1,1024
65,4,1025
65,8,1026
65,8,1027
65,10,1028
65,15,1436
65,16,1437
65,17,1438
65,31,1439
65,2,1440
65,3,1441
65,5,1442
65,6,1443
65,7,1444
65,8,2040
65,63,2041
65,64,2042
65,65,2043
65,128,2044
65,129,2045
65,130,2046
65,131,2047
65,132,2048
65,251,2049
65,252,2050
65,253,2051
65,254,4091
65,255,4092
65,0,4093
65,1,4094
65,2,4095
65,3,4096
65,4,4097
65,5,4098
65,6,4099
65,7,4100
65,8,5000
65,10,8190
65,15,8191
65,16,8192
65,32,8193
65,33,8194
65,31,10000
65,32,16381
65,127,16382
65,128,16383
65,129,16384
